TICKER,DURATION,PERIODEND,INDEXNAME,FORECAST_VALUE,ORIGINAL_VALUE,FORECAST_CUMULATIVEVALUE,ORIGINAL_CUMULATIVEVALUE,COMMENT,FORECAST_ERROR_PERCENTAGE,RELEASEDDATE,YOYCHANGE,INDEXHEALTH
DASH,Est. Quarter,2020-06-30,Global New Store Index,7.884864511136849,7.753910465999999,54.25512314713684,51.784621378433336,QTD Forecast,1.6889%,,,
DASH,Est. Quarter,2020-09-30,Global New Store Index,8.563118705147005,10.343868070000015,62.687287808147005,60.0259244005,QTD Forecast,-17.2155%,,,
DASH,Est. Quarter,2020-12-31,Global New Store Index,13.435498383354187,15.580550867,77.90353555535418,73.6229217706129,QTD Forecast,-13.7675%,,,
DASH,Est. Quarter,2021-03-31,Global New Store Index,12.123044818727053,13.124141371999976,92.17163285872707,88.1689783936129,QTD Forecast,-7.6279%,,,
DASH,Est. Quarter,2021-06-30,Global New Store Index,14.09114472250698,15.013916629999978,107.26387413450699,102.84880804036666,QTD Forecast,-6.1461%,,,
DASH,Est. Quarter,2021-09-30,Global New Store Index,39.913402432652305,33.584174387000004,148.10004847365232,135.69521416426667,QTD Forecast,18.8459%,,,
DASH,Est. Quarter,2021-12-31,Global New Store Index,19.813566711841016,21.575593230000013,161.584387140841,155.27169040480644,QTD Forecast,-8.1668%,,,
DASH,Est. Quarter,2022-03-31,Global New Store Index,29.281941033076148,27.050664588999947,192.62835469207616,182.96036337670967,QTD Forecast,8.2485%,,,
DASH,Est. Quarter,2022-06-30,Global New Store Index,30.98948911943024,31.214403422999936,221.38656736743025,211.67687767363333,QTD Forecast,-0.7205%,,,
DASH,Est. Quarter,2022-09-30,Global New Store Index,44.747935761430895,41.11418708099991,266.35941743343096,252.45204058816668,QTD Forecast,8.8382%,,,
DASH,Est. Quarter,2022-12-31,Global New Store Index,25.30182841530461,23.224376866000043,288.0274971683046,279.9662141102903,QTD Forecast,8.9451%,,,
DASH,Est. Quarter,2023-03-31,Global New Store Index,15.38005214075259,15.595509977000033,301.33009775975256,296.2520802076129,QTD Forecast,-1.3815%,,,
DASH,Est. Quarter,2023-06-30,Global New Store Index,16.695467808855263,16.08417281399999,318.24102340485524,313.00996550996666,QTD Forecast,3.8006%,,,
DASH,Est. Quarter,2023-09-30,Global New Store Index,57.74973476462557,60.28935422900008,375.3794631746256,357.4312090167667,QTD Forecast,-4.2124%,,,
DASH,Est. Quarter,2023-12-31,Global New Store Index,26.766707210186397,20.34730695600005,404.6857898491864,396.15778942919354,QTD Forecast,31.5491%,,,
DASH,Est. Quarter,2024-03-31,Global New Store Index,44.66311160517911,40.49937089599999,442.929501199179,428.44728781032256,QTD Forecast,10.2810%,,,
DASH,Est. Quarter,2024-06-30,Global New Store Index,144.66316900827945,116.9551958159998,583.4289294992795,538.1027714662,QTD Forecast,23.6911%,,,
DASH,Est. Quarter,2024-09-30,Global New Store Index,93.16153909814955,98.0309101349999,648.8824954051496,619.9284752995,QTD Forecast,-4.9672%,,,
DASH,Est. Quarter,2024-12-31,Global New Store Index,57.85162747845682,74.95784395099997,711.6034939204569,693.1716898304194,QTD Forecast,-22.8211%,,,
DASH,Est. Quarter,2025-03-31,Global New Store Index,83.4911620673426,64.858381557,812.2008724603425,784.6346729087096,QTD Forecast,28.7284%,,,
